annotator,item_id,text,feature_six,agreed_feature_six
20,1,"Energiekrise, geldpolitik der vorjahre, abwertung von währungen in einigen ländern - Die Energiekrise erhöhte die Produktionskosten, was in Kombination mit der lockeren Geldpolitik der vergangenen Jahre und der Abwertung von Währungen die Inflation durch steigende Preise für Waren und Importe beschleunigte. - inflation.","{('Klimawandel', (), 'Inflation'), ('Wechselkurse', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')}","{('Wechselkurse', (), 'Inflation')}"
21,1,"Energiekrise, geldpolitik der vorjahre, abwertung von währungen in einigen ländern - Die Energiekrise erhöhte die Produktionskosten, was in Kombination mit der lockeren Geldpolitik der vergangenen Jahre und der Abwertung von Währungen die Inflation durch steigende Preise für Waren und Importe beschleunigte. - inflation.","{('Wechselkurse', (), 'Inflation')}","{('Wechselkurse', (), 'Inflation')}"
20,2,"Lebenshaltung , Niedrig Löhne - Weiß nicht - inflation.","{('Nachfrage (Rest)', (), 'Inflation')}",*
21,2,"Lebenshaltung , Niedrig Löhne - Weiß nicht - inflation.","{('Löhne', (), 'Inflation')}",*
20,3,"Druck von ""neuen"" Geld, Politik der Ampel - Erhöhung der Geldmenge bedeutet immer steigen der Inflation - inflation.","{('Geldpolitik', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')}","{('Geldpolitik', (), 'Inflation')}"
21,3,"Druck von ""neuen"" Geld, Politik der Ampel - Erhöhung der Geldmenge bedeutet immer steigen der Inflation - inflation.","{('Geldpolitik', (), 'Inflation')}","{('Geldpolitik', (), 'Inflation')}"
20,4,Fortlaufende Erhöhungen  - Weil die lieben Bundeskanzler keine ahnung haben jeden helfen. Aber nicht ihren eigen Leuten  - inflation.,"{('Politisches Missmanagement', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation')}"
21,4,Fortlaufende Erhöhungen  - Weil die lieben Bundeskanzler keine ahnung haben jeden helfen. Aber nicht ihren eigen Leuten  - inflation.,"{('Politisches Missmanagement', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation')}"
20,5,"Kraftstoffe für Autos, Ernergiepreise , Wohnungsmieten, Lebensmittel - Gern vermindern die Produzenten auch noch die Grammzahl in den Packungen, damit noch ein besonderer Vorteil für sie herausspringt. - inflation.","{('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation')}"
21,5,"Kraftstoffe für Autos, Ernergiepreise , Wohnungsmieten, Lebensmittel - Gern vermindern die Produzenten auch noch die Grammzahl in den Packungen, damit noch ein besonderer Vorteil für sie herausspringt. - inflation.","{('Lebensmittelpreise', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Wohnraum', (), 'Inflation'), ('Preistreiberei', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation')}"
