item_id,agreed_values,n_annotators
1,"[('Wechselkurse', (), 'Inflation')]",2
3,"[('Geldpolitik', (), 'Inflation')]",2
4,"[('Politisches Missmanagement', (), 'Inflation')]",2
5,"[('Hohe Energiepreise', (), 'Inflation')]",2
6,"[('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Geopolitik', (), 'Inflation')]",2
7,"[('Klimawandel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Pandemie', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme')]",2
8,"[('Politisches Missmanagement', (), 'Inflation')]",2
9,"[('Krieg', (), 'Inflation')]",2
10,"[('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Arbeitskräftemangel', (), 'Inflation')]",2
11,"[('Lieferkettenprobleme', (), 'Inflation'), ('Hohe Energiepreise', (), 'Lieferkettenprobleme')]",2
12,"[('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
13,"[('Hohe Energiepreise', (), 'Inflation')]",2
14,"[('Lebensmittelpreise', (), 'Inflation'), ('Krieg', (), 'Lieferkettenprobleme'), ('Krieg', (), 'Hohe Energiepreise'), ('Hohe Energiepreise', (), 'Inflation')]",2
15,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
16,"[('Lieferkettenprobleme', (), 'Inflation'), ('Krieg', (), 'Angebot (Rest)'), ('Krieg', (), 'Lieferkettenprobleme'), ('Angebot (Rest)', (), 'Inflation')]",2
17,"[('Krieg', (), 'Inflation'), ('Klimawandel', (), 'Inflation'), ('Wohnraum', (), 'Inflation')]",2
18,"[('Pandemie', (), 'Inflation')]",2
19,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Preistreiberei', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
20,"[('Politisches Missmanagement', (), 'Inflation'), ('Geldpolitik', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
22,"[('Ökonomische Krise', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')]",2
23,"[('Inflation', (), 'Inflation')]",2
24,"[('Hohe Energiepreise', (), 'Inflation')]",2
25,"[('Angebot (Rest)', (), 'Inflation')]",2
26,"[('Geopolitik', (), 'Inflation')]",2
27,"[('Pandemie', (), 'Inflation')]",2
28,"[('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation')]",2
29,"[('Staatsausgaben', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Inflationserwartungen', (), 'Inflation'), ('Hohe Energiepreise', (), 'Angebot (Rest)'), ('Pandemie', (), 'Lieferkettenprobleme'), ('Lebensmittelpreise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation'), ('Geldpolitik', (), 'Inflation')]",2
30,"[('Steuererhöhungen', (), 'Inflation'), ('Krieg', (), 'Inflation'), ('Hohe Energiepreise', (), 'Inflation'), ('Politisches Missmanagement', (), 'Inflation')]",2
31,"[('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')]",2
32,"[('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
33,"[('Hohe Energiepreise', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Geopolitik')]",2
35,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
37,"[('Pandemie', (), 'Inflation'), ('Migration', (), 'Inflation')]",2
38,"[('Hohe Energiepreise', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation')]",2
41,"[('Inflation', (), 'Inflation')]",2
42,"[('Krieg', (), 'Geopolitik')]",2
43,"[('Lebensmittelpreise', (), 'Inflation'), ('Inflation', (), 'Inflation'), ('Staatsausgaben', (), 'Inflation')]",2
44,"[('Angebot (Rest)', (), 'Inflation')]",2
45,"[('Migration', (), 'Inflation')]",2
46,"[('Pandemie', (), 'Inflation'), ('Krieg', (), 'Inflation')]",2
