annotator,item_id,text,triples,triples_surface_form,triples_label_form,feature_one,feature_two,feature_four,feature_five,feature_six,feature_seven
20,4,Fortlaufende Erhöhungen  - Weil die lieben Bundeskanzler keine ahnung haben jeden helfen. Aber nicht ihren eigen Leuten  - inflation.,"[('41ihc7fQL6', [], '797696')]","[('Bundeskanzler', [], 'inflation')]","[('Politisches Missmanagement', [], 'Inflation')]",{'Politisches Missmanagement'},{'Politisches Missmanagement'},"{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Politisches Missmanagement', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,6,"Krieg, Wahlen, Amerika, China - Durch mehr Export, steigende Löhne, beeinträchtigtes Wachstum und Konsum sind alles Faktoren, die mit der Inflation in Verbindung stehen  - inflation.","[('991369', [], '263954'), ('396989', [], '263954'), ('3Lu4Powjtu', [], '263954'), ('-vmxL2eOYF', [], '263954'), ('AUvALmtQfc', [], '263954')]","[('Konsum', [], 'inflation'), ('Krieg', [], 'inflation'), ('Löhne', [], 'inflation'), ('beeinträchtigtes Wachstum', [], 'inflation'), ('Amerika, China', [], 'inflation')]","[('Nachfrage (Rest)', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Löhne', [], 'Inflation'), ('Ökonomische Krise', [], 'Inflation'), ('Geopolitik', [], 'Inflation')]","{'Krieg', 'Ökonomische Krise', 'Nachfrage (Rest)', 'Löhne', 'Geopolitik'}","{'Krieg', 'Ökonomische Krise', 'Nachfrage (Rest)', 'Löhne', 'Geopolitik'}","{('Ökonomische Krise', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}","{('Ökonomische Krise', (), 'Inflation'), ('Löhne', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation'), ('Geopolitik', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}"
20,9,Krieg  - Durch den Krieg wird alles teurer  - inflation.,"[('123488', [], '939331'), ('340867', [], '939331'), ('340867', [], '-Z905O3F-k'), ('123488', [], '-Z905O3F-k')]","[('Krieg', [], 'inflation'), ('Krieg', [], 'inflation'), ('Krieg', [], 'teurer'), ('Krieg', [], 'teurer')]","[('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation')]",{'Krieg'},{'Krieg'},"{('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,10,"Angebot Nachfrage , Kein geld - Viel bedarf kein personal - inflation.","[('mutsHCWj3A', [], '995287'), ('528313', [], '995287'), ('NsWpAXslHt', [], '995287')]","[('personal', [], 'inflation'), ('Angebot', [], 'inflation'), ('Nachfrage', [], 'inflation')]","[('Arbeitskräftemangel', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Nachfrage (Rest)', [], 'Inflation')]","{'Angebot (Rest)', 'Arbeitskräftemangel', 'Nachfrage (Rest)'}","{'Angebot (Rest)', 'Arbeitskräftemangel', 'Nachfrage (Rest)'}","{('Arbeitskräftemangel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}","{('Arbeitskräftemangel', (), 'Inflation'), ('Angebot (Rest)', (), 'Inflation'), ('Nachfrage (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation'), ('Nachfrage', (), 'Inflation')}"
20,24,Energiekosten - kA - inflation.,"[('AyUg_9R_68', [], '501264')]","[('Energiekosten', [], 'inflation')]","[('Hohe Energiepreise', [], 'Inflation')]",{'Hohe Energiepreise'},{'Hohe Energiepreise'},"{('Hohe Energiepreise', (), 'Inflation')}","{('Angebot', (), 'Inflation')}","{('Hohe Energiepreise', (), 'Inflation')}","{('Angebot', (), 'Inflation')}"
20,25,"Auslandsproduktion, / - Produkte werden mehr im Ausland produziert  - inflation.","[('dIpvICpKL3', [], '181316')]","[('Auslandsproduktion', [], 'inflation')]","[('Angebot (Rest)', [], 'Inflation')]",{'Angebot (Rest)'},{'Angebot (Rest)'},"{('Angebot (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation')}","{('Angebot (Rest)', (), 'Inflation')}","{('Angebot', (), 'Inflation')}"
20,26,"Mehr Krisenherde in der Welt, Mehr Autokratien - Die Spannungen zwischen den politischen Kulturen nimmt zu und somit gibt es mehr Konflikte - inflation.","[('nDQ4iZggKP', [], '340908')]","[('Krisenherde', [], 'inflation')]","[('Geopolitik', [], 'Inflation')]",{'Geopolitik'},{'Geopolitik'},"{('Geopolitik', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Geopolitik', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,31,"Wirtschaftlichelage , Höhere Lebensmittelkonzern , Lieferschwierigkeiten  - Sie sind von einander abhängig oder abgewiesen  - inflation.","[('645569', [], '777568'), ('yTiwzTuF2v', [], '777568')]","[('Lieferschwierigkeiten', [], 'inflation'), ('Wirtschaftlichelage', [], 'inflation')]","[('Lieferkettenprobleme', [], 'Inflation'), ('Ökonomische Krise', [], 'Inflation')]","{'Ökonomische Krise', 'Lieferkettenprobleme'}","{'Ökonomische Krise', 'Lieferkettenprobleme'}","{('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}","{('Ökonomische Krise', (), 'Inflation'), ('Lieferkettenprobleme', (), 'Inflation')}","{('Andere', (), 'Inflation'), ('Angebot', (), 'Inflation')}"
20,32,"Ukraine Krieg , Asyl - Sehr stark  - inflation.","[('152347', [], '832288'), ('cdvJHIvrlu', [], '832288')]","[('Ukraine Krieg', [], 'inflation'), ('Asyl', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Migration', [], 'Inflation')]","{'Migration', 'Krieg'}","{'Migration', 'Krieg'}","{('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Migration', (), 'Inflation'), ('Krieg', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,41,Hoher preis - Ka - inflation.,"[('IGIG0RwwH2', [], '158851')]","[('Hoher preis -', [], 'inflation')]","[('Inflation', [], 'Inflation')]",{'Inflation'},*,"{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}","{('Inflation', (), 'Inflation')}"
20,45,Einwanderer  - Weiß nicht  - inflation.,"[('aUeFeXAwgE', [], '625856')]","[('Einwanderer', [], 'inflation')]","[('Migration', [], 'Inflation')]",{'Migration'},{'Migration'},"{('Migration', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Migration', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
20,46,"ukraine krieg, corona - weiß nicht - inflation.","[('358365', [], '313890'), ('876391', [], '313890')]","[('ukraine krieg', [], 'inflation'), ('corona', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Pandemie', [], 'Inflation')]","{'Krieg', 'Pandemie'}","{'Krieg', 'Pandemie'}","{('Krieg', (), 'Inflation'), ('Pandemie', (), 'Inflation')}","{('Andere', (), 'Inflation')}","{('Krieg', (), 'Inflation'), ('Pandemie', (), 'Inflation')}","{('Andere', (), 'Inflation')}"
