inner_id,text,annotator_20,annotator_21
5,"Kraftstoffe für Autos, Ernergiepreise , Wohnungsmieten, Lebensmittel - Gern vermindern die Produzenten auch noch die Grammzahl in den Packungen, damit noch ein besonderer Vorteil für sie herausspringt. - inflation.",Inflationsnarrative,kausales Inflationsnarrativ
39,Corona - Die Kosten sind gestiegen  - inflation.,Gründe der Inflation,kausales Inflationsnarrativ
63,"Ukraine-Krieg , Politische Fehlentscheidungen  - Sehr, da für die Zeit die beschlossenen Gesetze nicht unbedingt umgesetzt werden hätten müssen  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
69,"Krieg in der Ukraine, Lebensmittelknappheit, Naturkatastrophen - alles wird knapper, bzw. kann nicht geliefert werden - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
130,"corona, schlechte ernte - es gibt mehrere ursachen dafür die unabhängig sind. Die Corona krise, die schlechten Ernten, der Krieg in der ukraine alles unabhängige ereignisse und doch wird es teurer - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
182,"Ukraine krieg, corona - Durch die Sanktionen an Russland. Bei corona bin ich mir nicht sicher warum da plötzlich die Preise so hoch angestiegen sind bzw. warum ? - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
233,"Russlandkrieg, Subventionen für Umwelt - Gar nicht  - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
247,"Staatlichen Ausgaben, Angebot und Nachfrage - Vom Staat aus, der mehr zurzeit auf die Außenpolitik fokussiert ist - inflation.",Gründe der Inflation,kausales Inflationsnarrativ
259,"Regierung, Angela Merkel, Olaf scholz, Erdogan, Franz Beckenbauer - Di
Sie hängen einfach zusammen. Ich weiss nicht was ich hier erklären soll. Tur mir leid wenn ich ihre zeit verschwende. Ich mag katzen - inflation.",Gründe der Inflation,Keine sinnvolle Antwort
260,"Unfähige Politiker, Europas Machtstreben, Nazis & Faschisten - Nazis und Faschisten haben immer mehr Einfluss auf die Politik in Europa und die Unfähigkeit der Politik ist einer der Hauptgründe dafür.  - inflation.",kausales Inflationsnarrativ,Gründe der Inflation
