inner_id,text,annotator_20,annotator_21
1,"Energiekrise, geldpolitik der vorjahre, abwertung von währungen in einigen ländern - Die Energiekrise erhöhte die Produktionskosten, was in Kombination mit der lockeren Geldpolitik der vergangenen Jahre und der Abwertung von Währungen die Inflation durch steigende Preise für Waren und Importe beschleunigte. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
2,"Lebenshaltung , Niedrig Löhne - Weiß nicht - inflation.",Gründe der Inflation,Gründe der Inflation
3,"Druck von ""neuen"" Geld, Politik der Ampel - Erhöhung der Geldmenge bedeutet immer steigen der Inflation - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
4,Fortlaufende Erhöhungen  - Weil die lieben Bundeskanzler keine ahnung haben jeden helfen. Aber nicht ihren eigen Leuten  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
5,"Kraftstoffe für Autos, Ernergiepreise , Wohnungsmieten, Lebensmittel - Gern vermindern die Produzenten auch noch die Grammzahl in den Packungen, damit noch ein besonderer Vorteil für sie herausspringt. - inflation.",Inflationsnarrative,kausales Inflationsnarrativ
6,"Krieg, Wahlen, Amerika, China - Durch mehr Export, steigende Löhne, beeinträchtigtes Wachstum und Konsum sind alles Faktoren, die mit der Inflation in Verbindung stehen  - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
7,"Ukraine Krieg, Getreidemangel, Flüchtlingswellen, Klimawandel, Corona Nachwirkungen - Der Preis also steigt die Nachfrage. Nachfrage Z.B. die Ukraine ist die Getreidekammers Europa der Krieg verhinderte die Ausfuhr des Getreides und zerstörte es teilweise so wurde es an den Märkten teurer dazu kommt die Klimakatastrophe, die das Wetter beeinflusst und somit das Wachstum der Pflanzen beeinträchtigt also eine Wertminderung! Der Mangel an Essen und der Krieg in Ländern vorher flüchten die Leute sobald in eine Richtung sie müssen versorgt werden wenn aber alles knapp wird und eine größere Zahl an Menschen an einem Ort sind geraten die Preise aus dem Fugen sich steigen die selten etwas wird umso kräftiger ist der Preis also steigt die Nachfrage. - inflation.",kausales Inflationsnarrativ,kausales Inflationsnarrativ
8,"Politik, Rohstoffpreise - Die einen sind von den Politikern beeinflussbar, die anderen hängen mehr vom Ausland ab. - inflation.",Gründe der Inflation,Gründe der Inflation
9,Krieg  - Durch den Krieg wird alles teurer  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
10,"Angebot Nachfrage , Kein geld - Viel bedarf kein personal - inflation.",Gründe der Inflation,Gründe der Inflation
11,Krieg Ukraine  - Export von Erdgas und Öl wurden zu Lieferengpässen  - inflation.,kausales Inflationsnarrativ,kausales Inflationsnarrativ
