annotator,item_id,text,triples,triples_surface_form,triples_label_form,feature_one,feature_two,feature_four,feature_five,feature_six,feature_seven
20,1,"Energiekrise, geldpolitik der vorjahre, abwertung von währungen in einigen ländern - Die Energiekrise erhöhte die Produktionskosten, was in Kombination mit der lockeren Geldpolitik der vergangenen Jahre und der Abwertung von Währungen die Inflation durch steigende Preise für Waren und Importe beschleunigte. - inflation.","[('475594', [], '503002'), ('797152', [], '503002'), ('275316', [], '503002'), ('GseiUkbY7V', [], '503002'), ('193023', [], '503002'), ('768628', [], '503002'), ('aIrZ3sVZIs', [], '503002')]","[('Energiekrise', [], 'inflation'), ('geldpolitik', [], 'inflation'), ('Energiekrise', [], 'inflation'), ('Abwertung', [], 'inflation'), ('Geldpolitik', [], 'inflation'), ('Produktionskosten', [], 'inflation'), ('währungen', [], 'inflation')]","[('Hohe Energiepreise', [], 'Inflation'), ('Geldpolitik', [], 'Inflation'), ('Klimawandel', [], 'Inflation'), ('Geldpolitik', [], 'Inflation'), ('Geldpolitik', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Wechselkurse', [], 'Inflation')]","{'Hohe Energiepreise', 'Geldpolitik', 'Wechselkurse', 'Klimawandel', 'Angebot (Rest)'}","{'Hohe Energiepreise', 'Wechselkurse', 'Klimawandel', 'Geldpolitik', 'Angebot (Rest)'}","{('Angebot (Rest)', '()', 'Inflation'), ('Klimawandel', '()', 'Inflation'), ('Hohe Energiepreise', '()', 'Inflation'), ('Wechselkurse', '()', 'Inflation'), ('Geldpolitik', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Wechselkurse', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}","{('Angebot (Rest)', '()', 'Inflation'), ('Hohe Energiepreise', '()', 'Inflation'), ('Klimawandel', '()', 'Inflation'), ('Wechselkurse', '()', 'Inflation'), ('Geldpolitik', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Wechselkurse', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}"
20,2,"Lebenshaltung , Niedrig Löhne - Weiß nicht - inflation.","[('-ZaBQkTzoE', [], '646400')]","[('Niedrig Löhne', [], 'inflation')]","[('Nachfrage (Rest)', [], 'Inflation')]",{'Nachfrage (Rest)'},{'Nachfrage (Rest)'},"{('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation')}","{('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation')}"
20,3,"Druck von ""neuen"" Geld, Politik der Ampel - Erhöhung der Geldmenge bedeutet immer steigen der Inflation - inflation.","[('fzR5v2g516', [], '742398'), ('923606', [], '742398'), ('eOE4X3C8eW', [], '742398')]","[('Druck', [], 'inflation'), ('Politik der Ampel', [], 'inflation'), ('Erhöhung', [], 'inflation')]","[('Geldpolitik', [], 'Inflation'), ('Politisches Missmanagement', [], 'Inflation'), ('Geldpolitik', [], 'Inflation')]","{'Politisches Missmanagement', 'Geldpolitik'}","{'Politisches Missmanagement', 'Geldpolitik'}","{('Politisches Missmanagement', '()', 'Inflation'), ('Geldpolitik', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Andere', '()', 'Inflation')}","{('Politisches Missmanagement', '()', 'Inflation'), ('Geldpolitik', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Andere', '()', 'Inflation')}"
20,4,Fortlaufende Erhöhungen  - Weil die lieben Bundeskanzler keine ahnung haben jeden helfen. Aber nicht ihren eigen Leuten  - inflation.,"[('41ihc7fQL6', [], '797696')]","[('Bundeskanzler', [], 'inflation')]","[('Politisches Missmanagement', [], 'Inflation')]",{'Politisches Missmanagement'},{'Politisches Missmanagement'},"{('Politisches Missmanagement', '()', 'Inflation')}","{('Andere', '()', 'Inflation')}","{('Politisches Missmanagement', '()', 'Inflation')}","{('Andere', '()', 'Inflation')}"
20,5,"Kraftstoffe für Autos, Ernergiepreise , Wohnungsmieten, Lebensmittel - Gern vermindern die Produzenten auch noch die Grammzahl in den Packungen, damit noch ein besonderer Vorteil für sie herausspringt. - inflation.","[('X05IprRqhX', [], '855769'), ('805310', [], '855769'), ('zfje3bRn9v', [], '855769'), ('9OIMy_Oo9g', [], '855769')]","[('Kraftstoffe', [], 'inflation'), ('Ernergiepreise', [], 'inflation'), ('Lebensmittel', [], 'inflation'), ('Wohnungsmieten', [], 'inflation')]","[('Hohe Energiepreise', [], 'Inflation'), ('Hohe Energiepreise', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation')]","{'Angebot (Rest)', 'Hohe Energiepreise'}","{'Angebot (Rest)', 'Hohe Energiepreise'}","{('Angebot (Rest)', '()', 'Inflation'), ('Hohe Energiepreise', '()', 'Inflation')}","{('Angebot', '()', 'Inflation')}","{('Angebot (Rest)', '()', 'Inflation'), ('Hohe Energiepreise', '()', 'Inflation')}","{('Angebot', '()', 'Inflation')}"
20,6,"Krieg, Wahlen, Amerika, China - Durch mehr Export, steigende Löhne, beeinträchtigtes Wachstum und Konsum sind alles Faktoren, die mit der Inflation in Verbindung stehen  - inflation.","[('991369', [], '263954'), ('396989', [], '263954'), ('3Lu4Powjtu', [], '263954'), ('-vmxL2eOYF', [], '263954'), ('AUvALmtQfc', [], '263954')]","[('Konsum', [], 'inflation'), ('Krieg', [], 'inflation'), ('Löhne', [], 'inflation'), ('beeinträchtigtes Wachstum', [], 'inflation'), ('Amerika, China', [], 'inflation')]","[('Nachfrage (Rest)', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Löhne', [], 'Inflation'), ('Ökonomische Krise', [], 'Inflation'), ('Geopolitik', [], 'Inflation')]","{'Löhne', 'Krieg', 'Geopolitik', 'Nachfrage (Rest)', 'Ökonomische Krise'}","{'Löhne', 'Krieg', 'Ökonomische Krise', 'Geopolitik', 'Nachfrage (Rest)'}","{('Krieg', '()', 'Inflation'), ('Löhne', '()', 'Inflation'), ('Ökonomische Krise', '()', 'Inflation'), ('Geopolitik', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}","{('Krieg', '()', 'Inflation'), ('Ökonomische Krise', '()', 'Inflation'), ('Löhne', '()', 'Inflation'), ('Geopolitik', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}"
20,7,"Ukraine Krieg, Getreidemangel, Flüchtlingswellen, Klimawandel, Corona Nachwirkungen - Der Preis also steigt die Nachfrage. Nachfrage Z.B. die Ukraine ist die Getreidekammers Europa der Krieg verhinderte die Ausfuhr des Getreides und zerstörte es teilweise so wurde es an den Märkten teurer dazu kommt die Klimakatastrophe, die das Wetter beeinflusst und somit das Wachstum der Pflanzen beeinträchtigt also eine Wertminderung! Der Mangel an Essen und der Krieg in Ländern vorher flüchten die Leute sobald in eine Richtung sie müssen versorgt werden wenn aber alles knapp wird und eine größere Zahl an Menschen an einem Ort sind geraten die Preise aus dem Fugen sich steigen die selten etwas wird umso kräftiger ist der Preis also steigt die Nachfrage. - inflation.","[('917845', [], 'mpfx2ydaNN'), ('jXA9dJVhOw', [], 'mpfx2ydaNN'), ('466237', [], 'mpfx2ydaNN'), ('602363', [], 'mpfx2ydaNN'), ('917425', [], 'mpfx2ydaNN'), ('917425', [], 'vV5UV96TcZ'), ('vV5UV96TcZ', [], 'mpfx2ydaNN'), ('610238', [], 'mpfx2ydaNN'), ('fqlqLdxtRS', [], 'mpfx2ydaNN'), ('862494', [], 'mpfx2ydaNN')]","[('Krieg', [], 'inflation'), ('Getreidemangel', [], 'inflation'), ('Klimawandel', [], 'inflation'), ('Corona', [], 'inflation'), ('Krieg', [], 'inflation'), ('Krieg', [], 'Ausfuhr'), ('Ausfuhr', [], 'inflation'), ('Klimakatastrophe', [], 'inflation'), ('Flüchtlingswellen,', [], 'inflation'), ('Nachfrage', [], 'inflation')]","[('Krieg', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Klimawandel', [], 'Inflation'), ('Pandemie', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Krieg', [], 'Lieferkettenprobleme'), ('Lieferkettenprobleme', [], 'Inflation'), ('Klimawandel', [], 'Inflation'), ('Nachfrage (Rest)', [], 'Inflation'), ('Nachfrage (Rest)', [], 'Inflation')]","{'Krieg', 'Pandemie', 'Nachfrage (Rest)', 'Lieferkettenprobleme', 'Klimawandel', 'Angebot (Rest)'}","{'Lieferkettenprobleme', 'Krieg', 'Klimawandel', 'Pandemie', 'Angebot (Rest)', 'Nachfrage (Rest)'}","{('Angebot (Rest)', '()', 'Inflation'), ('Krieg', '()', 'Lieferkettenprobleme'), ('Klimawandel', '()', 'Inflation'), ('Pandemie', '()', 'Inflation'), ('Krieg', '()', 'Inflation'), ('Lieferkettenprobleme', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation'), ('Andere', '()', 'Angebot')}","{('Angebot (Rest)', '()', 'Inflation'), ('Klimawandel', '()', 'Inflation'), ('Pandemie', '()', 'Inflation'), ('Krieg', '()', 'Inflation'), ('Lieferkettenprobleme', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation'), ('Andere', '()', 'Angebot')}"
20,8,"Politik, Rohstoffpreise - Die einen sind von den Politikern beeinflussbar, die anderen hängen mehr vom Ausland ab. - inflation.","[('482717', [], '369322'), ('UXpI6d6Rut', [], '369322')]","[('Rohstoffpreise', [], 'inflation'), ('Politik', [], 'inflation')]","[('Angebot (Rest)', [], 'Inflation'), ('Politisches Missmanagement', [], 'Inflation')]","{'Politisches Missmanagement', 'Angebot (Rest)'}","{'Politisches Missmanagement', 'Angebot (Rest)'}","{('Angebot (Rest)', '()', 'Inflation'), ('Politisches Missmanagement', '()', 'Inflation')}","{('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}","{('Angebot (Rest)', '()', 'Inflation'), ('Politisches Missmanagement', '()', 'Inflation')}","{('Angebot', '()', 'Inflation'), ('Andere', '()', 'Inflation')}"
20,9,Krieg  - Durch den Krieg wird alles teurer  - inflation.,"[('123488', [], '939331'), ('340867', [], '939331'), ('340867', [], '-Z905O3F-k'), ('123488', [], '-Z905O3F-k')]","[('Krieg', [], 'inflation'), ('Krieg', [], 'inflation'), ('Krieg', [], 'teurer'), ('Krieg', [], 'teurer')]","[('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation'), ('Krieg', [], 'Inflation')]",{'Krieg'},{'Krieg'},"{('Krieg', '()', 'Inflation')}","{('Andere', '()', 'Inflation')}","{('Krieg', '()', 'Inflation')}","{('Andere', '()', 'Inflation')}"
20,10,"Angebot Nachfrage , Kein geld - Viel bedarf kein personal - inflation.","[('mutsHCWj3A', [], '995287'), ('528313', [], '995287'), ('NsWpAXslHt', [], '995287')]","[('personal', [], 'inflation'), ('Angebot', [], 'inflation'), ('Nachfrage', [], 'inflation')]","[('Arbeitskräftemangel', [], 'Inflation'), ('Angebot (Rest)', [], 'Inflation'), ('Nachfrage (Rest)', [], 'Inflation')]","{'Arbeitskräftemangel', 'Angebot (Rest)', 'Nachfrage (Rest)'}","{'Arbeitskräftemangel', 'Angebot (Rest)', 'Nachfrage (Rest)'}","{('Angebot (Rest)', '()', 'Inflation'), ('Arbeitskräftemangel', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation')}","{('Angebot (Rest)', '()', 'Inflation'), ('Arbeitskräftemangel', '()', 'Inflation'), ('Nachfrage (Rest)', '()', 'Inflation')}","{('Nachfrage', '()', 'Inflation'), ('Angebot', '()', 'Inflation')}"
