inner_id,text,annotator_5,annotator_7,annotator_8,annotator_9,label
1,"New Central Bank Chief Named In Argentina

 

  BUENOS AIRES -AP- Argentina's minister of economy, Antonio Erman Gonzalez, said he has accepted the resignation of central bank President Rodolfo Rossi and that Enrique Folcini, a conservative economist, had been chosen to replace him. 

  Gonzales said that Rossi, who had been named chief of the central bank a little more than a month ago, ""had not been fired,"" noting that he would continue as an adviser on banking to Argentina's President Carlos Menem. 

  Rossi said he had resigned because of a dispute with private banking concerns. 

  Folcini will be the fourth central bank president since Menem took office a little more than six months ago. 

  Folcini was director of the central bank during the military regime that took power in 1976. 

  Rodolfo Rossi, who lasted five weeks as president of Argentina's central bank, was forced out by private banks troubled by the government's decision on Jan. 1 to convert several billion dollars of short-term certificates of deposits to 10-year bonds, analysts said. 

  That move curtailed currency speculation that was devaluing the austral in great chunks, and brought down interest rates that in December topped a ruinous 600% a month, by abruptly restricting the money supply. 

  However, private banks argued that reserves held by the Central Bank are not enough to cover the new bonds, and wrangled with Economy Ministry officials to expand the use of the bonds. 

  Specifically, banks want approval to buy bonds on the secondary market, where they are trading at about half-price, and use them, at full value, to cancel debts owed to investors and the government. 

  ""Of course, that would be tremendously profitable for them,"" a Central Bank official said in a telephone interview.  ""Of course, the state can't allow them to do that."" 

  Rossi opposed that plan and suggested that a compensatory fund be set up to resolve banks' losses, but deny them excess profits. 

  Rossi's resignation was rumored for days. In fact, he handed it to Economy Minister Antonio Gonzalez last Friday, the Central Bank official confirmed. 

  In his short tenure, Rossi also reportedly lost favor with his own Union of the Democratic Center political party when the Central Bank printed 1 trillion australs this month, an amount that almost doubled the money supply. 

  That monetary expansion, which Rossi had pledged to quell, almost certainly will fuel inflation, which soared by 40% in December and is projected to increase by at least that much this month. 

  (END) Dow Jones Newswires

  January 22, 1990 11:37 ET (16:37 GMT)
",inflation-cause-dominant,inflation-cause-dominant,inflation-cause-dominant,inflation-cause-dominant,inflation-cause-dominant
2,"Shell Oil Co. 4th Qtr Net $264 Mln Vs $212 Mln

 

  4th Quar: 

  1989 1988 

   Revenues        $5,505,000,000 $5,458,000,000 
   Net income         264,000,000 212,000,000 

  Shr ern: 

   Net income               ....  .... 

  Year: 

   Revenues        21,948,000,000 21,399,000,000 
   Net income       1,405,000,000 1,239,000,000 

  Shr ern: 

   Net income               ....  .... 

  No per-share figures were provided; the company is a unit of Royal Dutch Shell Group. 

  Shell Oil Co. said its year-ago full year net of $1,239,000,000 includes a gain of $35 million from an accounting change. 

  -0- 

  The oil company attributed its good performance to a strong showing by its oil-producing sector, which was buoyed by higher oil prices, and the chemicals business, which reported record income.  Quarterly earnings soared in the chemicals sector because a huge $120 million charge taken during the 1988 fourth quarter reduced results then significantly. 

  (END) Dow Jones Newswires

  January 24, 1990 12:09 ET (17:09 GMT)
",non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
3,"Greenspan - Disturbances -2-

 

  Fed Chairman Greenspan told the Ways and Means Committee that ""although foreign direct investment in the U.S. has grown very rapidly, it is still relatively small."" 

  For manufacturing as whole, he said, the direct investment affiliates accounted for 13 pc of assets and 11 pc of sales in 1987, the last year for which data were available. 

  Greenspan said one area of foreign direct investment of particular concern to the Fed was the banking industry, saying foreign-bank banks account for about one-fifth of all banking assets in the U.S. 

  But in many cases, he added, foreign banks conduct largely international transactions at their U.S. offices. 

  He warned that departure from a policy of ""national treatment"" in the banking industry could produce retaliation and could seriously complicate negotiations to ensure the access of U.S. banks to markets abroad, particularly to Europe after 1992. 

  Greenspan told the panel that globalization of markets benefit both the U.S. and the rest of the world, and repeatedly warned that efforts to insulate the U.S. from the forces of increasing globalization could be very costly. 

  At the same time, the Fed chairman said, continued efforts should be made to limit risks in international payments and securities settlement systems and to protect investors by increasing international cooperation and coordination of supervision and regulation. 

  Saying the U.S. could help ensure the orderly progress of global integration by reducing its current account imbalance, Greenspan said: ""The necessary policies are not those that attack the symptoms - large accumulations of foreign assets in the U.S. - but rather policies that address the underlying cause, which is our inadequate national savings, particularly our large federal budget deficit."" 

  Fed Chairman Greenspan told the House panel that portfolio considerations are playing an important role in the globalization of securities markets. ""As the welfare of people in the United States and abroad becomes increasingly dependent on the performance of foreign economies, it is natural for both individual investors and institutions to raise the share of foreign securities in investment portfolios,"" he said. 

  In discussing forces facilitating the globalization of capital markets, Greenspan said one factor contributing to an increase in Japanese gross investments abroad may have been the rise in stock and land prices in Japan that has been leveraged to finance these increased investments. 

  During the 1980s, Greenspan said, the U.S. net international investment position, as reported by the Commerce Department, ""fell sharply from a positive $141 billion at the end of 1981, to a negative $533 billion at the end of 1988."" 

  But, he said, these numbers should not be viewed as precise measures of the U.S.'s net international indebtedness for various technical reasons.  Still, he said, ""the direction and magnitude of recent changes are clear consequences of the U.S.'s current account deficits."" 

  He said growing U.S. net international indebtedness and the U.S.'s large current account deficits are two sides of the same coin. 

  He said that ""the most important underlying cause of the surge in our net borrowing from foreigners and the deterioration in our external balance has been the substantial decline in our national savings rate against the background of a relatively stable investment rate."" He said the decline in savings reflected in part the expansion of the budget deficit. 

  ""The fundamental accounting identity between savings and investment, of course, requires that any shortfall of domestic savings below domestic investment be made up in the form of a net inflow of savings from abroad,"" Greenspan said. 

  (END) Dow Jones Newswires

  January 25, 1990 10:36 ET (15:36 GMT)
",non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
4,"Bethlehem Steel 4th Qtr Net 58c A Share Vs. 79c

 

  4th Quar Dec 31: 

  1989 1988 

   Sales          $1,145,100,000 $1,332,200,000 
   Net income       a 50,000,000 65,700,000 

  Shr earns (primary) 

   Net income              0.58 0.79 

  Shr earns (fully diluted) 

   Net income              0.57 0.77 

  a. Includes $15 million in LIFO inventory liquidation credits. 

  Year Dec 31: 

   Sales          $5,250,900,000 5,488,800,000 
   Income          a 245,700,000 391,600,000 
   Extrd credit             ....    b 11,400,000 
   Net income      a 245,700,000 403,000,000 

  Shr earns (primary) 

   Income                  2.93 5.16 
   Extrd credit            ....  0.16 
   Net income              2.93 5.32 

  Shr earns (fully diluted) 

   Net income              2.86 4.91 

  a. Includes $15 million in LIFO inventory liquidation credits, and a charge of $105 million for restructuring and downsizing operations at Baltimore harbor and BethForge divisions. 

  b. From early retirement of debt. 

  Bethlehem Steel Corp.  attributed lower fourth quarter earnings to higher costs and softening demand in certain product lines.  In particular, prices for alloys and other purchased materials were significantly higher than 1988, the company said. 

  Higher costs were also incurred as a result of an outage at the Sparrows Point plant blast furnace and work stoppages at its coal mines, the company said.  A new labor contract with the United Steelworkers effective June 1 also raised employment costs. 

  The company said shipments were ""strong during the first half of the year,"" aided by its flat rolled products operations, but declined in the second half of the year as demand weakened, particularly from the automotive market. 

  Operating income from its basic steel operations fell to $63 million in the fourth quarter from $78 million, the company said.  For the year, operating income fell to $406 million from $528 million. 

  (END) Dow Jones Newswires

  January 31, 1990 12:26 ET (17:26 GMT)
",inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
5,"MacMillan Bloedel Ltd. 4th Qtr Net 35c (Cdn) A Shr Vs 68c

 

  4th Quar: 

  1989 1988 

   Sales            C$786,700,000 C$801,100,000 
   Net income          39,600,000 73,200,000 

  Shr ern (primary) 

   Net income               0.35 0.68 

  Shr ern (diluted) 

   Net income               0.35 0.66 

  Year: 

   Sales            3,273,700,000 3,273,500,000 
   Net income         246,700,000 329,800,000 

  Shr ern (primary): 

   Net income               2.27 3.08 

  Shr ern (diluted) 

   Net income               2.21 2.97 

  The company said increasing price pressure on newsprint and a stronger Canadian dollar contributed to the earnings 

drop.   Rising manufacturing and raw material costs, and non-recurring costs associated with the start-up of three new sawmills also hurt results, it said. 

  The company said the pulp market and lumber and containerboard markets remained strong. 

  MacMillan Bloedel said newsprint prices have stabilized, but may fall in the future as new capacity comes onstream. 

  (END) Dow Jones Newswires

  January 30, 1990 07:35 ET (12:35 GMT)
",non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
6,"Canadian Dollar - Key Rate -2-

 

  Mark Chandler, economist at the Royal Bank of Canada, said investors are taking a ""poor view"" of the Canadian dollar because of weak economic fundamentals, particularly Canada's fourth-quarter current account deficit. 

  Economists estimate that the current account deficit widened to an annual rate of C$20 billion in the 1989 fourth quarter. 

  The fourth-quarter current account figure is to be announced March 1 along with Canada's fourth-quarter gross domestic product. 

  Some analysts predicted only marginal growth in the fourth quarter, while others said they believe GDP declined in the three-month period. 

  Finance Minister Michael Wilson defended the Bank of Canada's monetary policy in the House of Commons earlier this session, saying high rates were necessary because Canada faces a ""tough inflation problem.""  Canada's Consumer Price Index rose an average annual rate of 5 pc in 1989, the highest rate since 1983. 

  Bank of Canada Governor John Crow is to meet with the central bank's board of directors next Friday, but isn't expected to change monetary policy before the federal government's budget is introduced Feb. 20. 

  Secretary of State for Finance Gilles Loiselle reaffirmed in the House of Commons this session the government's support for the Bank of Canada's fight against inflation. ""Inflation is a threat,"" Loiselle said. 

  He called the current economic situation ""volatile"" and said the government wants to bring rates down, but it wants to do it by ""fighting inflation.""  He said the Bank of Canada eased short-term rates in mid-January because it had seen the ""first signs that things were easing up a bit."" 

  Aron Gampel, senior economist at the Bank of Nova Scotia, said this morning's unemployment report will likely ""compound the negative sentiment in the financial markets."" He said investor expectations of a continuing tight monetary stance have intensified. 

  But Gampel said the unemployment report ""overstates the strength of Canadian employment conditions.""  He said mounting layoffs in the auto sector, fisheries and primary industries will drag employment growth down in coming months. 

  (END) Dow Jones Newswires

  February 09, 1990 12:23 ET (17:23 GMT)
",inflation-cause-dominant,inflation-related,inflation-related,inflation-related,inflation-related
7,"Newhall Land Puts 4th Qtr Net At 70c-75c A Unit Vs 25c

 
   By Jeff Rowe 
   Dow Jones Staff Reporter 
 

  VALENCIA, Calif. -DJ- Bolstered by rising land prices and a good citrus crop, Newhall Land & Farming Co.  expects to report 1989 net income of between $67 million and $69 million, or $1.70 to $1.75 per partnership unit, up 28 pc from 1988, Thomas L. Lee, president and chief executive officer, told Dow Jones. 

  For 1988, net income was $53.6 million, or $1.35 a unit, on revenue of $208.2 million. 

  ""1989 was a record year for homebuilding,"" Lee said. The house building, commercial development and agriculture company said it expects revenue for the year to be about $238 million, up 14 pc from 1988.  The company has withdrawn almost completely from the oil and gas business, Lee said. 

  Fourth quarter net income was between $28 million and $29 million, or from 70 cents to 75 cents a unit, he said, compared to net income of $10.1 million, or 25 cents a unit. The record-for-any-quarter performance was due to significant housing completions in the quarter, Lee said.  Revenue was about $97 million, Lee said, compared to revenue of $69.8 million for the comparable 1988 period. 

  A two-for-one partnership unit split was distributed Jan. 29 and the 20-cent distribution likely will remain at least until the end of the year. 

  Lee said the company will continue to repurchase units, noting that since the beginning of this year Newhall Land has repurchased 750,000 units and a total of 14 pc of the outstanding units since the repurchasing program began in Novomber 1987.  Currently, there are about 38 million units outstanding. 

  Lee said Newhall's total appraised land value exceeded $1 billion for the first time ever at Dec. 31, 1989.  ""It's a reflection of the rising land values in California,"" he said, noting that the trend is expected to continue.  ""Over the last five years, the appraised values have grown at a compound annual rate of 19 pc,"" he added. 

  Lee said the residential real estate market has slowed somewhat this year but the company expects 1990 will be a ""very good year"" at its giant industrial parks in Valencia, a rapidly-growing area about 30 miles north of Los Angeles. 

  At the company's Valencia Industrial Center, building absorption last year was 1.4 million square feet, up 40 pc from the average of the prior three years. 

  About two million square feet remain to be sold and developed at the 1,500-acre industrial center, but at the company's nearby 1,600-acre Valencia Commerce Center, there is room for about 11 million square feet of commercial and industrial buildings. 

  ""1990 could be a tremendous year for us,"" Lee said. 

  (END) Dow Jones Newswires

  February 13, 1990 12:46 ET (17:46 GMT)
",non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
8,"&apos;Zero Inflation&apos; Seen As Non- Starter Despite Tough Talk

 
   By John Connor 
   Dow Jones Staff Reporter 
 

  WASHINGTON -DJ- Tomorrow, with another Federal Open Market Committee meeting at hand, four Federal Reserve Bank Presidents will testify before Congress on legislation that seeks formally to elevate the obliteration of inflation to primacy among the Fed's goals. 

  Given the forum and cast of characters at the hearing, it shouldn't be surprising if the Fed comes off sounding prepared to quash inflation, come what may. 

  The hearing will be held by the House Domestic Monetary Policy Subcommittee, whose chairman, Rep.  Steve Neal, D-N.C., champions a ""zero inflation"" measure that has been endorsed by Fed Chairman Alan Greenspan. 

  Greenspan sees the zero inflation goal achieved when ""expected changes in the average price level are small enough and gradual enough that they do not materially enter business and household financial decisions."" 

  Greenspan told Congress last week that the current inflation rate of about 4.5 pc is ""unacceptable"" and that inflationary expectations are rising moderately worldwide. This, coupled with Greenspan's view that chances of a recession are waning, created an immediately generalized perception in Fed-watching circles that monetary easing has been put on hold. 

  Also, Greenspan cited as a cause of higher long-term interest rates in the U.S. the diversion of Japanese and European capital from the U.S.  due to rising interest rates abroad. Economist Paul Boltz of T. Rowe Price Associates, Inc., put it this way: ""Right now, foreign rates are providing a floor, or elevator if you will, to American interest rates.  In this environment, the Fed's ability to influence the course of American interest rates, and thereby the economy, is severely limited, if not crippled."" 

  Still, the Congressional Budget Office said last Friday that most private-sector forecasters share its view that ""the Federal Reserve will safely steer the economy between the shoals of a recession and higher inflation by further reducing interest rates this year."" 

  (END) Dow Jones Newswires

  February 05, 1990 12:49 ET (17:49 GMT)
",inflation-related,inflation-cause-dominant,inflation-cause-dominant,inflation-related,inflation-related
9,"Golden Poultry Stk 13.8% Higher; Salomon Upgrades Firm

 
   By Maryann Harvey 
   Dow Jones Staff Reporter 
 

  NEW YORK -DJ- Salomon Brothers analyst Bonnie Rivers tells Dow Jones Professional Investor Report that she upgraded Golden Poultry Co. to the firm's ""outperform"" or ""buy"" rating yesterday afternoon because she expects broiler prices to continue to rise and she sees the export market for chickens strengthening. 

  Previously, Rivers had a ""hold"" rating on the stock, which in Salomon's terms means she had expected it to match the market's performance. 

  Golden Poultry is up 1 1-8, or 13.8 pc, at 9 1-4 on OTC volume of 75,100 shares, more than four times its average daily volume of about 15,000 shares. 

  Rivers says she also raised her earnings estimate for the company's year ending in June to 45 cents a share from 40 cents. 

  Golden Poultry earned $1.20 a share in fiscal 1989. 

  Golden Poultry officials aren't immediately available for comment. 

  Rivers says she expects the Georgia dock price for broilers, which will be announced this afternoon, to be up again, following last week's increase of 1.75 cents a pound. She also notes that industry production for the export market is currently at about 8 pc and it usually runs at about 3 pc to 4 pc. 

  Early last week, Golden Poultry reported a second-quarter loss of five cents a share and blamed the loss on lower broiler prices because of industry overproduction and problems in processing and packaging operations at its Sanford, N.C., plant. 

  (END) Dow Jones Newswires

  February 14, 1990 12:51 ET (17:51 GMT)
",non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related,non-inflation-related
10,"U.S. Factory Orders Rose 1.9% In December

 

  WASHINGTON -DJ- Piloted by booming aircraft orders, new factory orders in December rose 1.9 pc to a seasonally adjusted $244.20 billion, the Commerce Department said. 

  Most of the December increase was in durable goods orders, nearly all for transportation equipment, Commerce said. Within transportation equipment, the department said, large increases in aircraft and parts and shipbuilding and tanks more than offset a decline in motor vehicles and parts. 

  Orders for durable goods in December rose 3.2 pc to an adjusted $134.35 billion, after rising 4.8 pc in November to $130.18 billion. In its advance report, the department had reported durable goods orders rose 2.5 pc. 

  The December factory orders increase compared with an unrevised increase of 2.4 pc in November to an adjusted $239.71 billion and an unrevised 0.1 pc decline in October to an adjusted $234.07 billion. 

  A Dow Jones Capital Markets Report survey of 12 economists published yesterday found an average estimate of a 1.6 pc gain in December factory orders. 

  For all of 1989, factory orders rose 6.4 pc to $2.830 trillion, after rising 9.7 pc in 1988, Commerce said. 

  For all of 1989, durable goods orders rose 5.9 pc to $1.520 trillion, after rising 11.0 pc in 1988, Commerce said. 

  Factory orders are not adjusted for inflation. 

  (END) Dow Jones Newswires

  February 02, 1990 10:00 ET (15:00 GMT)
",inflation-related,non-inflation-related,non-inflation-related,inflation-related,inflation-related
