annotator,item_id,text,triples,triples_surface_form,triples_label_form,feature_one,feature_two,feature_three,feature_four,feature_six,feature_eight
11,1,"New Central Bank Chief Named In Argentina

 

  BUENOS AIRES -AP- Argentina's minister of economy, Antonio Erman Gonzalez, said he has accepted the resignation of central bank President Rodolfo Rossi and that Enrique Folcini, a conservative economist, had been chosen to replace him. 

  Gonzales said that Rossi, who had been named chief of the central bank a little more than a month ago, ""had not been fired,"" noting that he would continue as an adviser on banking to Argentina's President Carlos Menem. 

  Rossi said he had resigned because of a dispute with private banking concerns. 

  Folcini will be the fourth central bank president since Menem took office a little more than six months ago. 

  Folcini was director of the central bank during the military regime that took power in 1976. 

  Rodolfo Rossi, who lasted five weeks as president of Argentina's central bank, was forced out by private banks troubled by the government's decision on Jan. 1 to convert several billion dollars of short-term certificates of deposits to 10-year bonds, analysts said. 

  That move curtailed currency speculation that was devaluing the austral in great chunks, and brought down interest rates that in December topped a ruinous 600% a month, by abruptly restricting the money supply. 

  However, private banks argued that reserves held by the Central Bank are not enough to cover the new bonds, and wrangled with Economy Ministry officials to expand the use of the bonds. 

  Specifically, banks want approval to buy bonds on the secondary market, where they are trading at about half-price, and use them, at full value, to cancel debts owed to investors and the government. 

  ""Of course, that would be tremendously profitable for them,"" a Central Bank official said in a telephone interview.  ""Of course, the state can't allow them to do that."" 

  Rossi opposed that plan and suggested that a compensatory fund be set up to resolve banks' losses, but deny them excess profits. 

  Rossi's resignation was rumored for days. In fact, he handed it to Economy Minister Antonio Gonzalez last Friday, the Central Bank official confirmed. 

  In his short tenure, Rossi also reportedly lost favor with his own Union of the Democratic Center political party when the Central Bank printed 1 trillion australs this month, an amount that almost doubled the money supply. 

  That monetary expansion, which Rossi had pledged to quell, almost certainly will fuel inflation, which soared by 40% in December and is projected to increase by at least that much this month. 

  (END) Dow Jones Newswires

  January 22, 1990 11:37 ET (16:37 GMT)
","[('360250', ['Increases'], '840132')]","[('monetary expansion', ['Increases'], 'inflation')]","[('Monetary Policy', ['Increases'], 'Inflation')]",{'Monetary Policy'},{'Monetary Policy'},{'Increases'},"{('Monetary Policy', 'Increases', 'Inflation')}","{('Monetary Policy', 'Increases', 'Inflation')}","{('Monetary Policy', 'Increases', 'Inflation')}"
11,35,"Analysts - Bank Of Canada Rate -2-

 

  Burns Fry Ltd. said recent signs of a softening economy and improving inflation justify the recent drop in the bank rate and ""makes the case for further declines.""  It noted that the M2 monetary aggregate, the money supply figure most closely watched by the central bank, grew at an annual rate of 4.9 pc in the six months ended in June compared to a rate of 17 pc in January.  M2 includes currency and net demand deposits plus personal savings deposits and non-personal notice deposits. 

  Burns Fry said demand for household credit, which grew at a rate of 14.5 pc in June, and some generous wage settlements reduced the prospects for significant interest rate declines. 

  ""The strong dollar, weaker growth and the more favorable tone in the U.S.  money markets give the Bank of Canada the flexibility to shift to a more accommodative policy stance,"" said Bank of Nova Scotia economist David Rosenberg.  The central bank, however, is likely to resist any sharp declines in short-term rates because of its continuing concern with high wage gains.  ""The central bank remains concerned that the run-up in wage settlements will reverse the recent moderation in consumer price trends,"" Rosenberg said. 

  Gerard MacDonell, a Royal Bank of Canada economist, said the dollar, which was pushed higher last week because of declines in U.S. short-term interest rates, may come under some selling pressure tomorrow after Statistics Canada reports its survey of revised capital spending intentions for 1990.  MacDonell said that, while financial markets are expecting the Canadian dollar to reach 87c (U.S.), a weak spending intentions report could ""damage the Canadian dollar by provoking speculation of a rapid cut in Canadian short-term interest rates."" 

  Michael Gregory, another Royal Bank economist, predicted that the revised capital spending intentions figure would be down significantly from the 7.4-pc increase forecast in the March survey.  Gregory said a strong Canadian dollar, declining profitability and lower equity prices and capacity utilization rates indicate the revised investment figure will show about a 2-pc increase. 

  (END) Dow Jones Newswires

  July 25, 1990 15:40 ET (19:40 GMT)
","[('997997', ['Increases'], '639876')]","[('wage settlements', ['Increases'], 'consumer price trends')]","[('Wages', ['Increases'], 'Inflation')]",{'Wages'},{'Wages'},{'Increases'},"{('Wages', 'Increases', 'Inflation')}","{('Wages', 'Increases', 'Inflation')}","{('Wages', 'Increases', 'Inflation')}"
11,36,"CPI Data Show Inflation Ignoring Recession Talk

 
   By Kevin Donovan 
   Dow Jones Staff Reporter 
 

  NEW YORK -DJ- Inflation hasn't gotten the word about the tottering economy. 

  The consumer price index in July rose 0.4%, the Labor Department reported this morning. The CPI component excluding food and energy, the so-called core rate of inflation, was up an alarming 0.6% in the month. 

  A Dow Jones Capital Markets Report consensus of economists had looked for a 0.3% rise in the CPI and for a similar rise without the food and energy components. 

  Inflation reports in the next few months are likely to show sizable increases because of the rise in oil prices caused by Iraq's invasion of Kuwait. 

  Labor said the July CPI report didn't reflect the impact of the Mideast crisis. In fact, consumer energy prices were down 0.7% in July. 

  ""It underscores the fact inflation is not going to vanish meekly from the scene despite all the clamor about a soft economy,"" says Stephen Roach, economist at Morgan Stanley & Co. Inc. 

  Roach says his calculations show core inflation up at a 5.9% annual rate through the first seven months of 1990, compared with a 4.7% rate for the first seven months in 1989. 

  ""The sharp rise in core inflation reflects an economy that is clearly sending some ominous signals ... even before we deal with a full-blown energy crisis,"" he says. 

  John Williams, economist at Bankers Trust Co., says, ""The way to explain it, is it's alarming."" 

  ""When you consider that energy prices were down in this report and when you consider that's not likely to happen again soon, the prospects for inflation are not very rosy at the moment,"" Williams says. 

  The consumer price index for July continues to show the difficulty in reining in medical costs, which are more or less impervious to supply and demand forces. 

  Medical costs showed the sharpest rise among major CPI components in July, leaping 0.9% after rising 0.7% in June and 0.8% in May. 

  ""We've got to find a way to get a handle on medical costs,"" says Carol Stone, senior economist at Nomura Securities International Inc. 

  Stone says much of the increase in the July CPI may be the result of higher local taxes, and thus may represent a one-time surge in the inflation rate. 

  ""It looks like some sales tax increases got to us in here, so that many of these items suffered a one-shot surge in prices,"" she says. ""The surge in tobacco prices is a case in point."" 

  Tobacco-price increases due to tax hikes accounted for a large part of the increase in the ""other"" category of CPI. Tobacco prices, which were up 2.7% in July, account for about 1.5% of the CPI index. 

  In addition, new hotel room taxes may have accounted for the rise in ""other renters' costs"" that helped boost the housing category 0.5% in July, Stone says. 

  Noting that apparel prices and automobile prices fell in the month, she says the overall CPI increase was ""sharp but it wasn't pervasive."" 

  Nevertheless, ""inflation is jumping to center stage,"" says Morgan Stanley's Roach. 

  He says CPI inflation surged in the first quarter of 1990, followed by a ""breathing spell"" in the seocnd quarter.  Now it may be heating up again. 

  The confluence of the Persian Gulf crisis and a robust inflation reading could well freeze monetary policy, says Bankers Trust's Williams. 

  ""The markets know that the Fed is as uncertain about the future as the rest of us are,"" he says, and would probably deem any bold move in changing policy foolish. 

  ""Don't just do something, sit there,"" might be the Fed's only choice, he says. 

  (END) Dow Jones Newswires

  August 16, 1990 10:06 ET (14:06 GMT)
","[('847312', ['Increases'], '791482'), ('522191', ['Increases'], '791482'), ('314397', ['Increases'], '791482')]","[('oil prices', ['Increases'], 'Inflation'), ('sales tax increases', ['Increases'], 'Inflation'), ('medical costs', ['Increases'], 'Inflation')]","[('Energy Prices', ['Increases'], 'Inflation'), ('Tax Increases', ['Increases'], 'Inflation'), ('Medical Costs', ['Increases'], 'Inflation')]","{'Energy Prices', 'Tax Increases', 'Medical Costs'}","{'Energy Prices', 'Tax Increases', 'Medical Costs'}",{'Increases'},"{('Tax Increases', 'Increases', 'Inflation'), ('Medical Costs', 'Increases', 'Inflation'), ('Energy Prices', 'Increases', 'Inflation')}","{('Tax Increases', 'Increases', 'Inflation'), ('Medical Costs', 'Increases', 'Inflation'), ('Energy Prices', 'Increases', 'Inflation')}","{('Tax Increases', 'Increases', 'Inflation'), ('Medical Costs', 'Increases', 'Inflation'), ('Energy Prices', 'Increases', 'Inflation')}"
11,64,"German State Central Banker Sees Scant Room For Rate Boost

 

  FRANKFURT -DJ- Helmut Hesse, president of the state central bank of Lower Saxony, said there isn't much room for an interest rate increase in Germany because of the trend toward lower interest rates in other nations. 

  Hesse, who is also a member of the Deutsche Bundesbank's policy-making Central Bank Council, made his comments in an annual New Year's speech to bankers in Hanover, where the state bank is based. 

  An increase in Bundesbank's offical lending rates could weaken the dollar again, which should be avoided, he said. He added that higher rates would strengthen the Deutsche mark and exacerbate pressures within the exchange rate stabilization arrangement of the European Monetary System. 

  Despite the lack of room for a rate increase, Hesse also acknowledged there are ""strong attractions"" for such a move, including attracting new capital to finance Eastern Germany.  Higher rates also would help damp strong demand in Germany that could feed inflation and offest the potential inflationary impact of growing wage and salary demands. 

  Hesse's comments contrast with those of other Bundesbank officials.  On Dec. 30, Bundesbank vice president Helmut Schlesinger said higher interest rates might be needed if the mark suffered because of reliance on further state debt to finance German unification. 

  Many Bundesbank watchers expect an increase in the Bundesbank's discount rate in coming weeks, possibly as soon as a scheduled Jan. 17 meeting of the Central Bank Council. The discount rate is the cheapest form of bank refinancing. 

  (END) Dow Jones Newswires

  January 09, 1991 10:36 ET (15:36 GMT)
","[('BQcDpaChkZ', ['Increases'], '940594'), ('940594', ['Increases'], '203599')]","[('strong demand', ['Increases'], 'wage and salary demands'), ('wage and salary demands', ['Increases'], 'inflation')]","[('Demand (residual)', ['Increases'], 'Wages'), ('Wages', ['Increases'], 'Inflation')]",{'Wages'},"{'Demand (residual)', 'Wages'}",{'Increases'},"{('Wages', 'Increases', 'Inflation'), ('Demand (residual)', 'Increases', 'Wages')}","{('Wages', 'Increases', 'Inflation')}","{('Wages', 'Increases', 'Inflation'), ('Demand (residual)', 'Increases', 'Wages')}"
11,65,"China Extends Two-Year Austerity Program

 

  BEIJING -AP- A strict austerity program begun two years ago will be extended for another year or more because it has failed to fully achieve intended results, China's government said today. 

  The basis for China's economic upturn is still rather fragile, an official told a news conference.  Some problems are yet to be resolved and others are still far from being resolved, he said. 

  China plans in 1991 to achieve a moderate 4.5 pc growth rate in the gross national product, 3.5 pc in agriculture and 6 pc in industry. 

  At a national economic planning meeting last month, Premier Li Peng told the meeting that the Communist Party suggested the austerity measures be extended into a third year or even longer. 

  Implemented in the fall of 1988 to bring down runaway inflation, the program succeeded in bringing inflation from a high of nearly 40 pc down to 3 pc for most of last year, but economists are warning of a resurgence. 

  Serious stockpiling, continued poor industrial growth and a large infusion of loans despite budget difficulties ""might result in potential inflationary pressure,"" the government said. 

  By the end of last November, China's stockpiles of unsold goods had increased by 30 billion yuan from the beginning of the year. No total figures were released. 

  Official reports have said new loans last year totaled 250 billion to 290 billion yuan, the highest ever in the 40 years of Communist rule.  The loans were made at a time when the budget deficit was estimated at about 10 billion yuan. 

  The massive injection of credit in the second half of 1990 helped boost last year's industrial growth rate to the planned 6 pc, the government said.  But an official report yesterday said some enterprises artificially sped up production to meet the target, merely adding to stockpiles. 

  (END) Dow Jones Newswires

  January 10, 1991 13:25 ET (18:25 GMT)
","[('863993', ['Decreases'], '762122'), ('336414', ['Increases'], '516218')]","[('austerity measures', ['Decreases'], 'inflation'), ('loans', ['Increases'], 'potential inflationary pressure')]","[('Monetary Policy', ['Decreases'], 'Inflation'), ('Government Debt', ['Increases'], 'Inflation')]","{'Government Debt', 'Monetary Policy'}","{'Government Debt', 'Monetary Policy'}","{'Increases', 'Decreases'}","{('Government Debt', 'Increases', 'Inflation'), ('Monetary Policy', 'Decreases', 'Inflation')}","{('Government Debt', 'Increases', 'Inflation'), ('Monetary Policy', 'Decreases', 'Inflation')}","{('Government Debt', 'Increases', 'Inflation'), ('Monetary Policy', 'Decreases', 'Inflation')}"
11,81,"Bank Of Canada Says On Track To Meet 1991 Inflation Target

 
   By John Urquhart 
   Dow Jones Staff Reporter 
 

  OTTAWA - The Bank of Canada is believed to be on track to meet its 1991 guidepost for inflation reduction, official sources said. 

  The guidepost requires that the rise in the consumer price index by the end of this year be held to less than 4 pc from a year earlier after adjustment for indirect taxes, including a 7 pc goods and service tax introduced Jan.  1. 

  The Bank of Canada set only a provisional inflation benchmark for this year because of the price impact of the new value-added tax.  The government has estimated that the new levy will push up consumer prices by an additional 1 1/4 pc this year. 

  The sources said that after eliminating the estimated impact of the new GST tax and other new indirect taxes, they were reasonably confident that the 1991 inflation guidepost would be reached.  The central bank is expected to announce later this year its estimates of the 1991 price impact of the various new indirect taxes imposed by the federal and provincial governments. 

  The Bank of Canada's formal inflation reduction targets, announced with the Finance Department in late February, call for the rise in the consumer price index to be held to 3 pc by the end of 1992, 2.5 pc by mid-1994 and 2 pc by the end of 1995.  Thereafter, the objective would be further reductions in inflation until price stability is achieved. 

  The sources said the Bank of Canada remains concerned about the potential inflationary impact of Canadian wage settlements.  Major wage contracts negotiated in the first quarter provided an average annual base rate increase of 6.2 pc, up from 5.9 pc in the 1990 fourth quarter. 

  The sources predicted that the level of wage settlements would drop before long.  In the 1981-82 recession, wage settlements showed a sharp decline after four quarters of economic decline, they noted.  The current recession is now in its fifth quarter. 

  (END) Dow Jones Newswires

  May 27, 1991 15:41 ET (19:41 GMT)
","[('848939', ['Increases'], 'unrVtVFgvF'), ('465401', ['Increases'], 'sGiT2MT9TK')]","[('Canadian wage settlements', ['Increases'], 'potential inflationary'), ('new levy', ['Increases'], 'consumer prices')]","[('Wages', ['Increases'], 'Inflation Expectations'), ('Tax Increases', ['Increases'], 'Inflation')]",{'Tax Increases'},"{'Inflation Expectations', 'Tax Increases', 'Wages'}",{'Increases'},"{('Tax Increases', 'Increases', 'Inflation'), ('Wages', 'Increases', 'Inflation Expectations')}","{('Tax Increases', 'Increases', 'Inflation')}","{('Tax Increases', 'Increases', 'Inflation')}"
11,84,"Kemp Reported Concerned Over Administration Pressure On Fed

 

  WASHINGTON -DJ- Housing and Urban Development Secretary Jack Kemp, well known for his willingness to publicly criticize the Federal Reserve for high interest rates and an alleged lack of concern about economic growth, is now reported to be in the opposite camp. 

  According to Washington Post columnist Hobart Rowan, Kemp is currently experiencing discomfort over the degree of pressure the Bush administration, in which he serves, is putting on the U.S.  central bank to ease money. 

  ""Kemp explained to me,"" Rowan said in a column published today, ""that if policy is limited solely to achieving lower short-term interest rates, it will weaken the long-term bond market, threatening the housing industry, and raising the specter of inflation."" 

  ""You can't inflate your way to economic growth,"" Kemp is quoted as saying. 

  In fairness, the ""supply side"" economic theories to which Kemp unabashedly subscribes, generally envisage steady growth of the money supply.  With a ""sound"" monetary policy in place, economic growth can properly be stimulated by lower taxes, Kemp and other supply siders maintain. 

  But in practice, Kemp has generally found the Fed off course in the direction of excessive restraint, allegedly as a result of ""excessive"" concerns about inflation among central bank policymakers. 

  Indeed, the Fed chairman with whom Kemp most frequently sparred was Paul Volcker, who consistently argued exactly what the HUD secretary reportedly now sees at issue: lowering short-term rates too far could be counterproductive if the long end of the market reacts badly to such moves. 

  Do the HUD secretary's currently views presage a shift in the administration's posture? 

  According to Rowan, Kemp admits to ""marginal"" influence within the administration on such matters. 

  ""If I were the Secretary of the Treasury, what I said would be really important,"" Kemp is quoted as saying.  ""But I'm not,"" he concedes with his usual splash of candor. 

  (END) Dow Jones Newswires

  May 30, 1991 13:05 ET (17:05 GMT)
","[('857813', ['Increases'], '874154'), ('938620', ['Decreases'], '857813')]","[('long-term bond market', ['Increases'], 'inflation'), ('short-term interest rates', ['Decreases'], 'long-term bond market')]","[('Government Debt', ['Increases'], 'Inflation'), ('Monetary Policy', ['Decreases'], 'Government Debt')]",{'Government Debt'},"{'Government Debt', 'Monetary Policy'}",{'Increases'},"{('Government Debt', 'Increases', 'Inflation'), ('Monetary Policy', 'Decreases', 'Government Debt')}","{('Government Debt', 'Increases', 'Inflation')}","{('Government Debt', 'Increases', 'Inflation'), ('Monetary Policy', 'Decreases', 'Government Debt')}"
11,86,"May CPI And Core Inflation Rate Both Seen Up 0.3%

 

  NEW YORK -DJ- Apparel and gasoline price gains are among factors seen boosting the Consumer Price Index by 0.3 pc in May, according to the average of forecasts of 16 economists polled by Dow Jones Capital Markets Report. 

  The core rate of inflation - CPI less the food and energy components - is expected to also have risen by 0.3 pc in May, according to 14 of the economists surveyed. 

  The projected CPI advances would be ""the biggest gains in the last couple of months,"" notes Kevin Flanagan, money market economist at Dean Witter Reynolds Inc. 

  May's consumer price data will be reported Friday at 8:30 a.m. EDT. 

  In recent months, CPI rose 0.2 pc in April, declined by 0.1 pc in March and advanced 0.2 pc in February. 

  The core rate, meanwhile, increased by 0.2 pc in April, rose 0.1 pc in March and spiked up by 0.7 pc in February. 

  Flanagan, who forecasts a 0.4 pc rise in CPI and a 0.3 pc core inflation rate increase for May, expects that ""gasoline 

provided a supporting influence.   Food pressures, apparel, medical care and mass transit fees"" also likely boosted the consumer price measures last month, he says. 

  Overall CPI forecasts from 16 economists surveyed ranged from three calls for a 0.2 pc rise to four estimates for a 0.4 pc increase. Of the 14 predictions for the core rate, CPI less food and energy, there were eight estimates for a 0.3 pc upturn and six calls for a 0.2 pc advance. 

  Analysts at Mitsubishi Bank write that ""there is a potential for a large 0.8 pc increase in May apparel prices, which could edge up the core rate modestly to 0.3 pc."" 

  They add that some of the expected apparel price rise would be offset by a relatively ""small increase in food prices following April's hefty 0.7 pc increase."" 

  The April food price gains were ""heavily concentrated in the volatile fresh fruits and dried vegetables category,"" the analysts write. ""Fresh vegetable prices rose 15.4 pc in April due to adverse weather impacts in California and 'insect infestations' that resulted in some shortages."" 

  (END) Dow Jones Newswires

  June 12, 1991 11:56 ET (15:56 GMT)
","[('462464', ['Increases'], '784345'), ('466031', ['Increases'], '784345'), ('569033', ['Increases'], '353005'), ('523867', ['Increases'], '353005'), ('321995', ['Increases'], '353005'), ('158421', ['Increases'], '681103'), ('KnqYK0GLdh', [], '353005')]","[('Apparel', ['Increases'], 'Consumer Price Index'), ('gasoline', ['Increases'], 'Consumer Price Index'), ('gasoline', ['Increases'], 'core inflation'), ('apparel', ['Increases'], 'core inflation'), ('medical care', ['Increases'], 'core inflation'), ('apparel prices', ['Increases'], 'core rate'), ('mass transit fees', [], 'core inflation')]","[('Food Prices', ['Increases'], 'Inflation'), ('Energy Prices', ['Increases'], 'Inflation'), ('Energy Prices', ['Increases'], 'Inflation'), ('Supply (residual)', ['Increases'], 'Inflation'), ('Medical Costs', ['Increases'], 'Inflation'), ('Food Prices', ['Increases'], 'Inflation Expectations'), ('Transportation Costs', [], 'Inflation')]","{'Supply (residual)', 'Medical Costs', 'Energy Prices', 'Food Prices', 'Transportation Costs'}","{'Food Prices', 'Inflation Expectations', 'Energy Prices', 'Supply (residual)', 'Transportation Costs', 'Medical Costs'}",{'Increases'},"{('Medical Costs', 'Increases', 'Inflation'), ('Food Prices', 'Increases', 'Inflation Expectations'), ('Energy Prices', 'Increases', 'Inflation'), ('Food Prices', 'Increases', 'Inflation'), ('Supply (residual)', 'Increases', 'Inflation')}","{('Supply (residual)', 'Increases', 'Inflation'), ('Food Prices', 'Increases', 'Inflation'), ('Medical Costs', 'Increases', 'Inflation'), ('Energy Prices', 'Increases', 'Inflation')}","{('Supply (residual)', 'Increases', 'Inflation'), ('Food Prices', 'Increases', 'Inflation'), ('Medical Costs', 'Increases', 'Inflation'), ('Energy Prices', 'Increases', 'Inflation')}"
11,92,"N.Y. Stocks Rally On Late Programs; DJIA Up 21.02

 
   By Craig S. Smith 
   Dow Jones Staff Reporter 
 

  NEW YORK -DJ- Computer-guided buy programs prodded the market higher late in today's session after stocks took a midday nap. 

  Share prices started the day higher as investors bought stocks after a key inflation report sent yields falling in the bond market. 

  The Producer Price Index for June fell 0.3%, while excluding the volatile food and energy sectors the index was unchanged for the month. Many economists had expected the index to rise, reflecting growing inflationary pressures as the economy lifts from the recession. 

  But stocks soon settled down as a number of weak earnings reports sapped investor enthusiasm.  The Dow Jones Industrial Average, which hit resistance at about the 2,975 issue in its morning, scraped along the 2,950 level through the middle of the day. 

  Trading activity had begun to wane when the program buy programs snapped stock prices out of their slumber, sending the Dow Jones average to its highs for the day.  The industrials ended off those highs with a 21.02 point gain at 2,980.77. 

  Newton Zinder, technical analyst at Lehman Brothers, said the market may be headed to restest its old highs in the week ahead. 

  ""The market was helped by the fact that it didn't collapse during the mid-session selloff,"" said Zinder.  He also noted that the number of advancing stocks held above the number of declining stocks throughout the day. 

  ""The market's breadth has held up very well this week, even when the Dow (Jones average) was down,"" said Zinder. 

  At the close today, 1,017 stocks had advanced in price, while 496 had fallen.  NYSE volume totalled 173.6 million shares, up from 157.7 million shares. 

  Standard & Poor's 500-Stock Index rose 3.28 to 380.25, the New York Stock Exchange Composite Index added 1.62 to 208.16, and the Dow Jones Equity Market Index gained 2.92 to 354.81. 

  While the market may well rise back to the top of its recent trading range at 3,035, there are high hurdles to be cleared before stocks can reach new highs. 

  Interest rates and corporate earnings are regarded as the key levers that could lift, or drop, the market out of the range that has held it spellbound since February. 

  Fears that inflation will resurface as the economy recovers have kept long-term interest rates stubbornly high, while the slow-motion recovery hasn't yet produced the corporate profits that could spur the market higher. 

  Inflation fears subsided somewhat today, sending interest rates slightly lower. The yield on the Treasury's benchmark 30-year bond eased to just under 8.44%. 

  But earnings have yet to show any evidence of strength. Edward J. Laux, head of block trading at Kidder Peabody, said the market will have trouble making sustainable gains with profit reports arriving in force next week. 

  The final Dow Jones Industrial average close was 2,980.77, up 21.02.  There were 1,016 issues advancing, 499 declining and 553 unchanged. 

  Volume totaled 173,060,000 shares, compared with 157,680,000 shares yesterday. 

  The NYSE Composite index was 208.17, up 1.63.  The average price per share rose 28 cents. 

  American Stock Exchange volume totaled 9,290,000 shares, compared with 9,560,000 yesterday.  There were 308 issues advancing, 234 declining and 229 unchanged. The average price per share rose 7 cents. 

  (END) Dow Jones Newswires

  July 12, 1991 16:29 ET (20:29 GMT)
","[('q6uvAGkQt3', ['Increases'], 'KUCY5YnWKq')]","[('economy lifts', ['Increases'], 'inflationary pressures')]","[('Pent-up Demand', ['Increases'], 'Inflation')]",{'Pent-up Demand'},{'Pent-up Demand'},{'Increases'},"{('Pent-up Demand', 'Increases', 'Inflation')}","{('Pent-up Demand', 'Increases', 'Inflation')}","{('Pent-up Demand', 'Increases', 'Inflation')}"
11,102,"Carolina Freight 3rd Qtr Net 21c A Shr Vs 25c

 

  3rd Qtr Sept. 7: 

   1991          1990 
   Oper revenues     $178,626,000   $171,340,000 
   Net income           1,367,000      1,612,000 

  Shr ern (primary) 

   Net income               0.21        0.25 

  9 months: 

   Oper revenues      522,506,000    499,162,000 
   Net income           2,080,000      1,678,000 

  Shr ern (primary): 

   Net income               0.31        0.25 

  Kenneth E. Mayhew, president and chief executive, said, ""The major negative factor affecting third-quarter operating results was the margin squeeze resulting from prices that were lower than in the third quarter of 1990, combined with inflationary pressures.  Since employee compensation constituted 65 pc of our operating expenses in the third quarter, the most significant inflationary pressures were higher pay rates and employee benefit contributions under the new three-year contract with the Teamsters Union."" 

  He added, ""We continue to feel that 1991 revenue will be approximately $780 million and net earnings will be higher than in 1990. 

  ""Resumption of economic growth in the United States will substantially benefit our operating results.  We have the 

capacity for significant growth.   We are positioned to achieve solid operating results in the long term,"" he said. 

  (END) Dow Jones Newswires

  September 23, 1991 17:05 ET (21:05 GMT)
","[('232151', ['Increases'], '751554'), ('450387', ['Increases'], '751554')]","[('higher pay rates', ['Increases'], 'inflationary pressures'), ('employee benefit contributions', ['Increases'], 'inflationary pressures')]","[('Wages', ['Increases'], 'Inflation'), ('Wages', ['Increases'], 'Inflation')]",{'Wages'},{'Wages'},{'Increases'},"{('Wages', 'Increases', 'Inflation')}","{('Wages', 'Increases', 'Inflation')}","{('Wages', 'Increases', 'Inflation')}"
